Date,Value,Anomaly
190001,21.7,1.9
190002,19.9,-0.8
190003,22.7,-7.9
190004,43.2,0.4
190005,54.2,-0.3
190006,65.3,1.9
190007,69.1,0.9
190008,69.7,3.7
190009,62.1,3.2
190010,53.7,5.7
190011,37.0,0.7
190012,23.7,-0.8
190101,20.0,0.2
190102,13.5,-7.2
190103,28.5,-2.1
190104,43.8,1.0
190105,54.5,0.0
190106,65.6,2.2
190107,71.9,3.7
190108,67.6,1.6
190109,59.4,0.5
190110,47.7,-0.3
190111,30.4,-5.9
190112,23.6,-0.9
190201,17.9,-1.9
190202,18.5,-2.2
190203,36.1,5.5
190204,44.0,1.2
190205,53.4,-1.1
190206,60.2,-3.2
190207,67.3,-0.9
190208,63.6,-2.4
190209,59.1,0.2
190210,47.2,-0.8
190211,41.2,4.9
190212,21.2,-3.3
190301,20.2,0.4
190302,23.6,2.9
190303,39.7,9.1
190304,43.1,0.3
190305,57.1,2.6
190306,59.3,-4.1
190307,66.6,-1.6
190308,60.8,-5.2
190309,59.4,0.5
190310,48.5,0.5
190311,31.7,-4.6
190312,18.7,-5.8
190401,12.3,-7.5
190402,12.9,-7.8
190403,27.8,-2.8
190404,39.0,-3.8
190405,58.0,3.5
190406,63.9,0.5
190407,66.7,-1.5
190408,64.0,-2.0
190409,57.2,-1.7
190410,44.6,-3.4
190411,31.8,-4.5
190412,17.2,-7.3
190501,15.5,-4.3
190502,13.6,-7.1
190503,29.2,-1.4
190504,41.7,-1.1
190505,54.4,-0.1
190506,63.0,-0.4
190507,68.8,0.6
190508,64.6,-1.4
190509,58.9,0.0
190510,48.0,0.0
190511,33.1,-3.2
190512,27.1,2.6
190601,27.3,7.5
190602,20.4,-0.3
190603,24.2,-6.4
190604,42.8,0.0
190605,54.5,0.0
190606,64.8,1.4
190607,67.8,-0.4
190608,68.7,2.7
190609,61.8,2.9
190610,47.8,-0.2
190611,34.0,-2.3
190612,21.2,-3.3
190701,19.6,-0.2
190702,13.8,-6.9
190703,32.5,1.9
190704,37.9,-4.9
190705,48.9,-5.6
190706,61.6,-1.8
190707,67.3,-0.9
190708,63.9,-2.1
190709,59.8,0.9
190710,43.1,-4.9
190711,34.2,-2.1
190712,27.6,3.1
190801,19.8,0.0
190802,16.2,-4.5
190803,30.8,0.2
190804,41.5,-1.3
190805,56.9,2.4
190806,64.8,1.4
190807,69.9,1.7
190808,65.0,-1.0
190809,61.9,3.0
190810,50.1,2.1
190811,36.2,-0.1
190812,24.2,-0.3
190901,22.7,2.9
190902,25.0,4.3
190903,27.6,-3.0
190904,41.4,-1.4
190905,53.7,-0.8
190906,64.0,0.6
190907,66.0,-2.2
190908,64.8,-1.2
190909,58.0,-0.9
190910,44.6,-3.4
190911,39.3,3.0
190912,21.6,-2.9
191001,21.2,1.4
191002,18.2,-2.5
191003,37.0,6.4
191004,47.2,4.4
191005,52.7,-1.8
191006,61.5,-1.9
191007,69.0,0.8
191008,65.1,-0.9
191009,58.9,0.0
191010,49.4,1.4
