Date,Location,HomeTeam,AwayTeam
09/08/2019,Anfield,Liverpool,Norwich
10/08/2019,London Stadium,West Ham,Man City
10/08/2019,Vitality Stadium,Bournemouth,Sheffield Utd
10/08/2019,Turf Moor,Burnley,Southampton
10/08/2019,Selhurst Park,Crystal Palace,Everton
10/08/2019,Vicarage Road,Watford,Brighton
10/08/2019,Tottenham Hotspur Stadium,Spurs,Aston Villa
11/08/2019,King Power Stadium,Leicester,Wolves
11/08/2019,St. James' Park,Newcastle,Arsenal
11/08/2019,Old Trafford,Man Utd,Chelsea
17/08/2019,Emirates Stadium,Arsenal,Burnley
17/08/2019,Villa Park,Aston Villa,Bournemouth
17/08/2019,Amex Stadium,Brighton,West Ham
17/08/2019,Goodison Park,Everton,Watford
17/08/2019,Carrow Road,Norwich,Newcastle
17/08/2019,St. Mary's Stadium,Southampton,Liverpool
17/08/2019,Etihad Stadium,Man City,Spurs
18/08/2019,Bramall Lane,Sheffield Utd,Crystal Palace
18/08/2019,Stamford Bridge,Chelsea,Leicester
19/08/2019,Molineux Stadium,Wolves,Man Utd
23/08/2019,Villa Park,Aston Villa,Everton
24/08/2019,Carrow Road,Norwich,Chelsea
24/08/2019,Amex Stadium,Brighton,Southampton
24/08/2019,Old Trafford,Man Utd,Crystal Palace
24/08/2019,Bramall Lane,Sheffield Utd,Leicester
24/08/2019,Vicarage Road,Watford,West Ham
24/08/2019,Anfield,Liverpool,Arsenal
25/08/2019,Vitality Stadium,Bournemouth,Man City
25/08/2019,Tottenham Hotspur Stadium,Spurs,Newcastle
25/08/2019,Molineux Stadium,Wolves,Burnley
31/08/2019,St. Mary's Stadium,Southampton,Man Utd
31/08/2019,Stamford Bridge,Chelsea,Sheffield Utd
31/08/2019,Selhurst Park,Crystal Palace,Aston Villa
31/08/2019,King Power Stadium,Leicester,Bournemouth
31/08/2019,Etihad Stadium,Man City,Brighton
31/08/2019,St. James' Park,Newcastle,Watford
31/08/2019 15:00,London Stadium,West Ham,Norwich
31/08/2019 17:30,Turf Moor,Burnley,Liverpool
01/09/2019,Goodison Park,Everton,Wolves
01/09/2019,Emirates Stadium,Arsenal,Spurs
14/09/2019 12:30,Anfield,Liverpool,Newcastle
14/09/2019 15:00,Amex Stadium,Brighton,Burnley
14/09/2019 15:00,Old Trafford,Man Utd,Leicester
14/09/2019 15:00,Bramall Lane,Sheffield Utd,Southampton
14/09/2019 15:00,Tottenham Hotspur Stadium,Spurs,Crystal Palace
14/09/2019 15:00,Molineux Stadium,Wolves,Chelsea
14/09/2019 17:30,Carrow Road,Norwich,Man City
15/09/2019 14:00,Vitality Stadium,Bournemouth,Everton
15/09/2019 16:30,Vicarage Road,Watford,Arsenal
16/09/2019 20:00,Villa Park,Aston Villa,West Ham
20/09/2019 20:00,St. Mary's Stadium,Southampton,Bournemouth
21/09/2019 12:30,King Power Stadium,Leicester,Spurs
21/09/2019 15:00,Turf Moor,Burnley,Norwich
21/09/2019 15:00,Goodison Park,Everton,Sheffield Utd
21/09/2019 15:00,Etihad Stadium,Man City,Watford
21/09/2019 17:30,St. James' Park,Newcastle,Brighton
22/09/2019 14:00,Selhurst Park,Crystal Palace,Wolves
22/09/2019 14:00,London Stadium,West Ham,Man Utd
22/09/2019 16:30,Emirates Stadium,Arsenal,Aston Villa
22/09/2019 16:30,Stamford Bridge,Chelsea,Liverpool
28/09/2019 12:30,Bramall Lane,Sheffield Utd,Liverpool
28/09/2019 15:00,Vitality Stadium,Bournemouth,West Ham
28/09/2019 15:00,Villa Park,Aston Villa,Burnley
28/09/2019 15:00,Stamford Bridge,Chelsea,Brighton
28/09/2019 15:00,Selhurst Park,Crystal Palace,Norwich
28/09/2019 15:00,Tottenham Hotspur Stadium,Spurs,Southampton
28/09/2019 15:00,Molineux Stadium,Wolves,Watford
28/09/2019 17:30,Goodison Park,Everton,Man City
29/09/2019 16:30,King Power Stadium,Leicester,Newcastle
30/09/2019 20:00,Old Trafford,Man Utd,Arsenal
05/10/2019,Amex Stadium,Brighton,Spurs
05/10/2019,Turf Moor,Burnley,Everton
05/10/2019,Anfield,Liverpool,Leicester
05/10/2019,Carrow Road,Norwich,Aston Villa
05/10/2019,Vicarage Road,Watford,Sheffield Utd
05/10/2019,London Stadium,West Ham,Crystal Palace
06/10/2019,Emirates Stadium,Arsenal,Bournemouth
06/10/2019,Etihad Stadium,Man City,Wolves
06/10/2019,St. Mary's Stadium,Southampton,Chelsea
06/10/2019,St. James' Park,Newcastle,Man Utd
19/10/2019 12:30,Goodison Park,Everton,West Ham
19/10/2019 15:00,Vitality Stadium,Bournemouth,Norwich
19/10/2019 15:00,Villa Park,Aston Villa,Brighton
19/10/2019 15:00,Stamford Bridge,Chelsea,Newcastle
19/10/2019 15:00,King Power Stadium,Leicester,Burnley
19/10/2019 15:00,Tottenham Hotspur Stadium,Spurs,Watford
19/10/2019 15:00,Molineux Stadium,Wolves,Southampton
19/10/2019 17:30,Selhurst Park,Crystal Palace,Man City
20/10/2019 16:30,Old Trafford,Man Utd,Liverpool
21/10/2019 20:00,Bramall Lane,Sheffield Utd,Arsenal
25/10/2019 20:00,St. Mary's Stadium,Southampton,Leicester
26/10/2019 12:30,Etihad Stadium,Man City,Aston Villa
26/10/2019 15:00,Amex Stadium,Brighton,Everton
26/10/2019 15:00,Vicarage Road,Watford,Bournemouth
26/10/2019 15:00,London Stadium,West Ham,Sheffield Utd
26/10/2019 17:30,Turf Moor,Burnley,Chelsea
27/10/2019 14:00,St. James' Park,Newcastle,Wolves
27/10/2019 16:30,Emirates Stadium,Arsenal,Crystal Palace
27/10/2019 16:30,Anfield,Liverpool,Spurs
27/10/2019 16:30,Carrow Road,Norwich,Man Utd
02/11/2019,Vitality Stadium,Bournemouth,Man Utd
02/11/2019,Emirates Stadium,Arsenal,Wolves
02/11/2019,Villa Park,Aston Villa,Liverpool
02/11/2019,Amex Stadium,Brighton,Norwich
02/11/2019,Selhurst Park,Crystal Palace,Leicester
02/11/2019,Goodison Park,Everton,Spurs
02/11/2019,Etihad Stadium,Man City,Southampton
02/11/2019,Bramall Lane,Sheffield Utd,Burnley
02/11/2019,Vicarage Road,Watford,Chelsea
02/11/2019,London Stadium,West Ham,Newcastle
09/11/2019,Turf Moor,Burnley,West Ham
09/11/2019,Stamford Bridge,Chelsea,Crystal Palace
09/11/2019,King Power Stadium,Leicester,Arsenal
09/11/2019,Anfield,Liverpool,Man City
09/11/2019,Old Trafford,Man Utd,Brighton
09/11/2019,St. James' Park,Newcastle,Bournemouth
09/11/2019,Carrow Road,Norwich,Watford
09/11/2019,St. Mary's Stadium,Southampton,Everton
09/11/2019,Tottenham Hotspur Stadium,Spurs,Sheffield Utd
09/11/2019,Molineux Stadium,Wolves,Aston Villa
23/11/2019 15:00,Vitality Stadium,Bournemouth,Wolves
23/11/2019 15:00,Emirates Stadium,Arsenal,Southampton
23/11/2019 15:00,Villa Park,Aston Villa,Newcastle
23/11/2019 15:00,Amex Stadium,Brighton,Leicester
23/11/2019 15:00,Selhurst Park,Crystal Palace,Liverpool
23/11/2019 15:00,Goodison Park,Everton,Norwich
23/11/2019 15:00,Etihad Stadium,Man City,Chelsea
23/11/2019 15:00,Bramall Lane,Sheffield Utd,Man Utd
23/11/2019 15:00,Vicarage Road,Watford,Burnley
23/11/2019 15:00,London Stadium,West Ham,Spurs
30/11/2019 15:00,Turf Moor,Burnley,Crystal Palace
30/11/2019 15:00,Stamford Bridge,Chelsea,West Ham
30/11/2019 15:00,King Power Stadium,Leicester,Everton
30/11/2019 15:00,Anfield,Liverpool,Brighton
30/11/2019 15:00,Old Trafford,Man Utd,Aston Villa
30/11/2019 15:00,St. James' Park,Newcastle,Man City
30/11/2019 15:00,Carrow Road,Norwich,Arsenal
30/11/2019 15:00,St. Mary's Stadium,Southampton,Watford
30/11/2019 15:00,Tottenham Hotspur Stadium,Spurs,Bournemouth
30/11/2019 15:00,Molineux Stadium,Wolves,Sheffield Utd
03/12/2019,Emirates Stadium,Arsenal,Brighton
03/12/2019,Turf Moor,Burnley,Man City
03/12/2019,King Power Stadium,Leicester,Watford
03/12/2019,Bramall Lane,Sheffield Utd,Newcastle
03/12/2019,Molineux Stadium,Wolves,West Ham
03/12/2019,Old Trafford,Man Utd,Spurs
04/12/2019,Stamford Bridge,Chelsea,Aston Villa
04/12/2019,St. Mary's Stadium,Southampton,Norwich
04/12/2019,Selhurst Park,Crystal Palace,Bournemouth
04/12/2019,Anfield,Liverpool,Everton
07/12/2019,Vitality Stadium,Bournemouth,Liverpool
07/12/2019,Villa Park,Aston Villa,Leicester
07/12/2019,Amex Stadium,Brighton,Wolves
07/12/2019,Goodison Park,Everton,Chelsea
07/12/2019,Etihad Stadium,Man City,Man Utd
07/12/2019,St. James' Park,Newcastle,Southampton
07/12/2019,Carrow Road,Norwich,Sheffield Utd
07/12/2019,Tottenham Hotspur Stadium,Spurs,Burnley
07/12/2019,Vicarage Road,Watford,Crystal Palace
07/12/2019,London Stadium,West Ham,Arsenal
