Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,HTHG,HTAG,HTR,HS,AS,HST,AST,HC,AC,HF,AF,HY,AY,HR,AR,FTR
,2021-01-03,Newcastle,Leicester,,,,,,,,,,,,,,,,,,A
,2021-01-03,Chelsea,Man City,,,,,,,,,,,,,,,,,,A
,2021-01-04,Southampton,Liverpool,,,,,,,,,,,,,,,,,,H
,2021-01-12,Sheffield Utd,Newcastle,,,,,,,,,,,,,,,,,,H
,2021-01-12,Burnley,Man Utd,,,,,,,,,,,,,,,,,,A
,2021-01-12,Wolves,Everton,,,,,,,,,,,,,,,,,,A
,2021-02-03,Burnley,Man City,,,,,,,,,,,,,,,,,,A
,2021-02-03,Fulham,Leicester,,,,,,,,,,,,,,,,,,A
,2021-02-03,Leeds,Everton,,,,,,,,,,,,,,,,,,A
,2021-02-03,Aston Villa,West Ham,,,,,,,,,,,,,,,,,,A
,2021-02-03,Liverpool,Brighton,,,,,,,,,,,,,,,,,,A
,2021-02-04,Spurs,Chelsea,,,,,,,,,,,,,,,,,,A
,2021-02-06,Aston Villa,Arsenal,,,,,,,,,,,,,,,,,,H
,2021-02-06,Burnley,Brighton,,,,,,,,,,,,,,,,,,D
,2021-02-06,Newcastle,Southampton,,,,,,,,,,,,,,,,,,H
,2021-02-06,Fulham,West Ham,,,,,,,,,,,,,,,,,,D
,2021-02-06,Man Utd,Everton,,,,,,,,,,,,,,,,,,D
,2021-02-07,Spurs,West Brom,,,,,,,,,,,,,,,,,,H
,2021-02-07,Wolves,Leicester,,,,,,,,,,,,,,,,,,D
,2021-02-07,Liverpool,Man City,,,,,,,,,,,,,,,,,,A
,2021-02-07,Sheffield Utd,Chelsea,,,,,,,,,,,,,,,,,,A
,2021-02-08,Leeds,Crystal Palace,,,,,,,,,,,,,,,,,,H
,2020-01-11,Aston Villa,Southampton,,,,,,,,,,,,,,,,,,A
,2020-01-11,Newcastle,Everton,,,,,,,,,,,,,,,,,,H
