,Country Code,Year,Agricultural land (sq. km),GDP per capita growth (annual %),Livestock production index (2004-2006 = 100),Urban population,Crop production index (2004-2006 = 100),Food production index (2004-2006 = 100),Ores and metals exports (% of merchandise exports),Electric power consumption (kWh per capita),Forest area (% of land area)
0,ABW,1990,20.0,2.09291010616282,67.4938481231068,31273.0,71.69244179359885,69.365,1.09653600945262,1237.521539865285,2.33333326048321
1,AFG,1990,380400.0,1.31511182921888,70.69,2628554.0,66.64,68.12,2.7519731468896698,1237.521539865285,2.06782464846981
2,AGO,1990,574040.0,-6.65753217768963,70.11,4400964.0,29.25,37.91,6.22259790016432,53.171799095674295,48.909922194593705
3,ALB,1990,11210.0,-11.1879052985212,57.97,1197222.0,84.36,68.73,2.7519731468896698,552.252184819181,28.7883207223711
4,AND,1990,230.0,-0.14261468196311,67.4938481231068,51627.0,71.69244179359885,69.365,2.7519731468896698,1237.521539865285,34.0425531914894
5,ARB,1990,3543041.99951172,9.09613768208106,59.1403579411201,112206722.0,60.419123056400096,59.2507310057434,2.7519731468896698,1072.6690531647,1.7326335458283701
6,ARE,1990,2850.0,11.678397886100399,42.89,1445394.0,29.8,30.49,2.7519731468896698,8500.726305380791,3.4497324697268397
7,ARG,1990,1275650.0,-3.87410316538033,84.39,28373007.0,53.11,63.01,2.44684969260831,1303.9778990247,12.7135335021504
8,ARM,1990,78460.0,1.31511182921888,67.4938481231068,2385470.0,71.69244179359885,69.365,2.7519731468896698,2722.59311378676,11.7667720407446
9,ASM,1990,30.0,1.31511182921888,97.93,38326.0,45.07,56.5,2.7519731468896698,1237.521539865285,91.949996948242
10,ATG,1990,90.0,2.15497355156189,77.26,22151.0,97.86,86.85,2.7519731468896698,1237.521539865285,23.409091342579302
11,AUS,1990,4644810.0,2.04908201949108,86.42,14579227.0,59.46,69.98,20.810282845608803,8527.228085390649,16.7320984600966
12,AUT,1990,30238.9990234375,3.55354779021329,94.01,4833974.0,93.12,92.02,3.4650707505714906,6111.4765201195705,45.72535722935329
13,AZE,1990,78460.0,1.31511182921888,67.4938481231068,3847891.0,71.69244179359885,69.365,2.7519731468896698,2575.63905573404,10.2382926565485
14,BDI,1990,21100.0,0.9900790877560299,101.8,341077.0,89.05,101.8,2.7519731468896698,1237.521539865285,11.253894080996899
15,BEL,1990,78460.0,2.8302681208583396,67.4938481231068,9606261.0,71.69244179359885,69.365,4.222142935745319,6380.31321975416,31.0779996606714
16,BEN,1990,22700.0,5.5071072139989194,62.76,1716834.0,47.18,48.98,2.7519731468896698,34.9503143117922,51.090812344803105
17,BFA,1990,95750.0,-3.2112144431794603,55.23,1217244.0,45.89,52.24,2.7519731468896698,1237.521539865285,25.025584795321603
18,BGD,1990,103860.0,3.0869840235007797,65.81,20439396.0,65.77,65.58,2.7519731468896698,49.780969549516,11.4772989168011
19,BGR,1990,61590.0,-7.463207654548401,250.19,5786939.0,147.3,175.89,2.7519731468896698,4758.73190255565,30.073217029738803
20,BHR,1990,80.0,1.31200257216312,141.69,437114.0,61.59,91.98,52.826689633675,15621.124712913701,0.318840577982474
21,BHS,1990,120.0,-3.3206565034786,64.67,204563.0,78.06,72.91,2.7519731468896698,1237.521539865285,51.4485514485514
22,BIH,1990,78460.0,1.31511182921888,67.4938481231068,1751849.0,71.69244179359885,69.365,2.7519731468896698,2937.65569608796,43.1640625
23,BLR,1990,78460.0,1.31511182921888,67.4938481231068,6722804.0,71.69244179359885,69.365,2.7519731468896698,4380.90097163608,38.3553539735752
24,BLZ,1990,1260.0,9.017270339470661,52.14,89022.0,53.61,53.14,2.7519731468896698,1237.521539865285,70.8474366197668
25,BMU,1990,3.00000011920929,-0.798461539604872,131.95,59326.0,92.37,113.15,0.000296021229689881,1237.521539865285,18.5185181914697
26,BOL,1990,354550.0,2.4450599465808396,64.91,3815273.0,53.62,58.54,44.0863070267613,266.138681706003,57.966398966122
27,BRA,1990,2416080.0,-4.8418710002327305,44.88,110146163.0,59.02,51.4,13.5586350332268,1460.76034878789,65.4098878458604
28,BRB,1990,190.0,-3.6703714070194704,97.96,97512.0,131.38,110.63,0.0855963138007912,1237.521539865285,14.651163234267099
29,BRN,1990,110.0,-1.7484336060365,20.03,171889.0,60.87,27.79,0.0442255992105255,4325.12242918047,78.3681214421252
30,BTN,1990,4540.0,9.07481064666094,34.05,86988.0,61.95,49.93,2.7519731468896698,1237.521539865285,53.65045193424089
31,BWA,1990,260210.0,3.26516336491491,64.19,539575.0,118.3,69.48,2.7519731468896698,769.376633953912,24.2055299701798
32,CAF,1990,50060.0,-4.2741994168520705,56.3,1033580.0,76.45,62.49,2.7519731468896698,1237.521539865285,36.2130405470481
33,CAN,1990,677680.0,-1.33414391669075,68.1,21206427.0,82.97,74.11,8.56974693663455,16167.374558604299,38.299072635319
34,CEB,1990,461950.0,1.31511182921888,67.4938481231068,67987254.0,71.69244179359885,69.365,2.7519731468896698,3744.0517302346702,31.9443966742274
35,CHE,1990,16056.9995117188,2.61546624604011,103.95,4964515.0,118.55,105.83,2.65896644222607,7445.292016894,29.117863554236497
36,CHI,1990,85.0,1.31511182921888,67.4938481231068,44159.0,71.69244179359885,69.365,2.7519731468896698,1237.521539865285,4.04040425629681
37,CHL,1990,158990.0,1.6532088922914698,55.08,11053911.0,60.09,57.57,54.61492944606529,1237.62460146702,20.5276966674057
38,CHN,1990,5056940.0,2.39361245948719,40.11,300165618.0,55.08,48.12,2.08145013935917,510.619854913516,16.7380069501771
39,CIV,1990,189300.0,-4.59949654893489,80.85,4691843.0,68.09,65.99,2.7519731468896698,160.420941867996,32.1446540880503
40,CMR,1990,91700.0,-8.929583562076221,73.68,4671629.0,54.8,57.14,6.87897739355902,199.064726850937,51.4395718305092
41,COD,1990,259600.0,-9.665218754858591,99.25,10602701.0,122.12,117.31,2.7519731468896698,130.879376799212,70.7364195761011
42,COG,1990,105210.0,-1.72438665001907,51.01,1280274.0,65.82,62.7,2.7519731468896698,173.969348298092,66.5475841874085
43,COL,1990,450830.0,2.24983574786401,69.1,23000000.0,78.88,70.21,0.16789696312856903,871.5938261600501,58.0594862550698
44,COM,1990,1140.0,2.03700974834095,63.61,114707.0,79.96,77.63,2.7519731468896698,1237.521539865285,26.3299292815414
45,CPV,1990,680.0,-1.32524696205817,51.31,149104.0,70.46,58.5,2.7519731468896698,1237.521539865285,14.3300248138958
46,CRI,1990,23050.0,0.8834316221692691,71.08,1559810.0,62.1,59.28,0.917459804608057,1071.9896853049902,50.215432824128506
47,CSS,1990,26148.9999961853,0.253106141596703,74.3763937158109,2932345.0,91.3422586699152,84.4563771917365,2.35339843778641,1237.521539865285,86.3226380924744
48,CUB,1990,67410.0,-3.80043342742538,185.49,7774374.0,134.51,158.31,2.7519731468896698,1212.32572994569,19.1620111731844
49,CUW,1990,78460.0,1.31511182921888,67.4938481231068,123122.0,71.69244179359885,69.365,2.7519731468896698,4662.998624484179,31.0779996606714
50,CYM,1990,27.0000004768372,1.31511182921888,192.36,25312.0,108.04,122.65,2.7519731468896698,1237.521539865285,52.916665871937894
51,CYP,1990,1606.00006103516,5.139969469787861,69.82,511915.0,137.48,99.29,0.7028629268704429,2430.16377190637,17.4361472522026
52,CZE,1990,78460.0,1.31511182921888,67.4938481231068,7772750.0,71.69244179359885,69.365,2.7519731468896698,5600.40761204856,34.0235537724861
53,DEU,1990,180320.0,4.3516390599903,114.6,58079842.0,94.07,108.34,2.5181088340014197,6639.73169146049,32.3661673302208
54,DJI,1990,12990.0,1.31511182921888,96.02,448449.0,77.13,93.14,0.18552202408414498,1237.521539865285,0.241587571381906
55,DMA,1990,180.0,5.87374595319052,90.59,44420.0,163.29,153.79,0.0652939976742947,1237.521539865285,66.6666666666667
56,DNK,1990,27880.0,1.31052514831973,81.86,4361727.0,115.66,94.74,1.20429473436735,5944.82836695787,12.8143432933954
57,DOM,1990,25460.0,-7.25160310713619,59.39,3939543.0,81.52,69.38,2.7519731468896698,391.252869911995,22.8731111571103
58,DZA,1990,386760.0,-1.7540728763702198,62.93,13416507.0,35.59,44.43,0.4288895892564821,531.583898345847,0.6999084702780319
59,EAP,1990,7434550.00097662,3.7319133468756096,42.8223157837566,451111284.0,56.5625185464514,51.3632017113449,2.4450251483648997,460.059245565731,28.691200459304298
60,EAR,1990,11804255.9985352,3.4308160449066603,62.86529236292849,708987173.0,66.6316803072625,65.2512741219891,5.89557977832554,534.331271438544,24.7835120788216
61,EAS,1990,12331960.0009766,3.5358717206222403,50.6368049076835,618773331.0,58.8891594270341,55.176022649394596,2.62408613436414,1094.9614792797502,25.771048245455603
62,ECA,1990,617260.0,-2.0795975638578,67.4938481231068,241755203.0,71.69244179359885,69.365,2.7519731468896698,4527.68041268435,38.3794835373655
