,Country Name,Country Code,Year,Agricultural land (sq. km),Agricultural land (% year difference),Electric power consumption (kWh per capita),Electric power consumption (% year difference),GDP per capita growth (annual %),GDP per capita growth (% year difference),Livestock production index (2004-2006 = 100),Livestock production index (% year difference),Ores and metals exports (% of merchandise exports),Ores and metals exports (% year difference),Urban population,Urban population (% year difference),Crop production index (2004-2006 = 100),Crop production index (% year difference),Food production index (2004-2006 = 100),Food production index (% year difference),Forest area (% of land area),Forest area (% year difference)
7,Argentina,ARG,1990,1275650.0,0.0,1303.9778990247,0.0,-3.87410316538033,0.0,84.39,0.0,2.44684969260831,0.0,28373007.0,0.0,53.11,0.0,63.01,0.0,12.7135335021504,0.0
11,Australia,AUS,1990,4644810.0,0.0,8527.228085390649,0.0,2.04908201949108,0.0,86.42,0.0,20.810282845608803,0.0,14579227.0,0.0,59.46,0.0,69.98,0.0,16.7320984600966,0.0
15,Belgium,BEL,1990,78460.0,0.0,6380.31321975416,0.0,2.83026812085834,0.0,67.4938481231068,0.0,4.222142935745319,0.0,9606261.0,0.0,71.69244179359885,0.0,69.365,0.0,31.077999660671395,0.0
27,Brazil,BRA,1990,2416080.0,0.0,1460.76034878789,0.0,-4.8418710002327305,0.0,44.88,0.0,13.5586350332268,0.0,110146163.0,0.0,59.02,0.0,51.4,0.0,65.4098878458604,0.0
33,Canada,CAN,1990,677680.0,0.0,16167.374558604299,0.0,-1.33414391669075,0.0,68.1,0.0,8.56974693663455,0.0,21206427.0,0.0,82.97,0.0,74.11,0.0,38.299072635319,0.0
37,Chile,CHL,1990,158990.0,0.0,1237.62460146702,0.0,1.6532088922914698,0.0,55.08,0.0,54.61492944606529,0.0,11053911.0,0.0,60.09,0.0,57.57,0.0,20.5276966674057,0.0
53,Germany,DEU,1990,180320.0,0.0,6639.73169146049,0.0,4.3516390599903,0.0,114.6,0.0,2.51810883400142,0.0,58079842.0,0.0,94.07,0.0,108.34,0.0,32.3661673302208,0.0
79,United Kingdom,GBR,1990,182030.0,0.0,5356.5752100009995,0.0,0.438627901426258,0.0,107.37,0.0,3.14606264646828,0.0,44733264.0,0.0,104.91,0.0,107.2,0.0,11.4826602736329,0.0
93,High Income Countries,HIC,1990,13204639.0064245,0.0,7296.31042530872,0.0,2.35183824755126,0.0,88.4426138239171,0.0,3.5889518736507404,0.0,745675963.0,0.0,87.39853120492441,0.0,87.1639183684413,0.0,28.4507844367479,0.0
107,India,IND,1990,1814130.0,0.0,272.063483743806,0.0,3.36507304280155,0.0,60.66,0.0,5.15924036647241,0.0,223096279.0,0.0,72.59,0.0,70.13,0.0,21.5051846669739,0.0
121,Cambodia,KHM,1990,44550.0,0.0,1237.521539865285,0.0,1.31511182921888,0.0,48.39,0.0,2.7519731468896698,0.0,1395346.0,0.0,47.14,0.0,46.45,0.0,73.328801268978,0.0
134,Low Income Countries,LIC,1990,4446043.99902344,0.0,1237.521539865285,0.0,-2.23128522861231,0.0,67.4476962462136,0.0,2.7519731468896698,0.0,77327042.0,0.0,68.5056642766586,0.0,67.84772784270079,0.0,29.837480051567503,0.0
154,Middle Income Countries,MIC,1990,23019651.0004845,0.0,903.260735350011,0.0,0.236782470574042,0.0,53.2979245014053,0.0,4.37096664761325,0.0,1448802631.0,0.0,61.5101219907154,0.0,58.0918997050412,0.0,34.3290033903648,0.0
178,New Zealnd,NZL,1990,161820.0,0.0,8972.310649288249,0.0,-0.767363480054328,0.0,67.54,0.0,5.6661315303599,0.0,2821739.0,0.0,75.47,0.0,65.05,0.0,36.6791994227337,0.0
231,Thailand,THA,1990,213830.0,0.0,709.5524598331351,0.0,9.62221855708884,0.0,79.91,0.0,1.03917512639621,0.0,16641681.0,0.0,62.07,0.0,68.44,0.0,27.412946035350103,0.0
249,United States of America,USA,1990,4269480.0,0.0,11713.3317042099,0.0,0.741481518072391,0.0,78.8,0.0,3.05316232480302,0.0,187966119.0,0.0,79.41,0.0,77.94,0.0,33.0223082096657,0.0
